 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> August 16, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\He_W.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.9300E+01 g/cm3 = 6.3221E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      W     74    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   6.50 keV   8.752E+00  1.539E+00     147 A       229 A       169 A   
   7.00 keV   9.083E+00  1.536E+00     157 A       241 A       178 A   
   8.00 keV   9.710E+00  1.528E+00     178 A       263 A       195 A   
   9.00 keV   1.030E+01  1.516E+00     198 A       284 A       211 A   
  10.00 keV   1.086E+01  1.503E+00     219 A       304 A       227 A   
  11.00 keV   1.141E+01  1.488E+00     240 A       324 A       243 A   
  12.00 keV   1.193E+01  1.472E+00     260 A       343 A       257 A   
  13.00 keV   1.244E+01  1.456E+00     281 A       362 A       272 A   
  14.00 keV   1.293E+01  1.440E+00     301 A       380 A       286 A   
  15.00 keV   1.341E+01  1.423E+00     322 A       397 A       300 A   
  16.00 keV   1.388E+01  1.407E+00     343 A       414 A       314 A   
  17.00 keV   1.433E+01  1.391E+00     364 A       431 A       327 A   
  18.00 keV   1.478E+01  1.374E+00     384 A       447 A       340 A   
  20.00 keV   1.564E+01  1.343E+00     426 A       478 A       365 A   
  22.50 keV   1.667E+01  1.305E+00     478 A       515 A       395 A   
  25.00 keV   1.765E+01  1.269E+00     529 A       549 A       424 A   
  27.50 keV   1.860E+01  1.235E+00     581 A       582 A       452 A   
  30.00 keV   1.951E+01  1.202E+00     632 A       614 A       479 A   
  32.50 keV   2.039E+01  1.172E+00     684 A       644 A       505 A   
  35.00 keV   2.124E+01  1.143E+00     735 A       672 A       529 A   
  37.50 keV   2.207E+01  1.116E+00     785 A       700 A       553 A   
  40.00 keV   2.287E+01  1.090E+00     836 A       726 A       577 A   
  45.00 keV   2.441E+01  1.042E+00     936 A       775 A       621 A   
  50.00 keV   2.587E+01  9.987E-01    1036 A       821 A       663 A   
  55.00 keV   2.727E+01  9.595E-01    1134 A       864 A       703 A   
  60.00 keV   2.861E+01  9.238E-01    1231 A       904 A       741 A   
  65.00 keV   2.989E+01  8.911E-01    1327 A       941 A       778 A   
  70.00 keV   3.112E+01  8.610E-01    1421 A       976 A       812 A   
  80.00 keV   3.346E+01  8.075E-01    1608 A      1041 A       877 A   
  90.00 keV   3.565E+01  7.612E-01    1790 A      1099 A       937 A   
 100.00 keV   3.769E+01  7.208E-01    1968 A      1152 A       994 A   
 110.00 keV   3.962E+01  6.851E-01    2142 A      1200 A      1046 A   
 120.00 keV   4.144E+01  6.533E-01    2313 A      1245 A      1095 A   
 130.00 keV   4.315E+01  6.248E-01    2481 A      1286 A      1142 A   
 140.00 keV   4.478E+01  5.990E-01    2646 A      1324 A      1186 A   
 150.00 keV   4.632E+01  5.756E-01    2808 A      1360 A      1228 A   
 160.00 keV   4.779E+01  5.543E-01    2968 A      1393 A      1268 A   
 170.00 keV   4.918E+01  5.347E-01    3125 A      1424 A      1306 A   
 180.00 keV   5.051E+01  5.166E-01    3280 A      1454 A      1343 A   
 200.00 keV   5.297E+01  4.844E-01    3584 A      1509 A      1412 A   
 225.00 keV   5.574E+01  4.502E-01    3954 A      1570 A      1492 A   
 250.00 keV   5.820E+01  4.210E-01    4314 A      1625 A      1565 A   
 275.00 keV   6.040E+01  3.959E-01    4666 A      1674 A      1634 A   
 300.00 keV   6.236E+01  3.740E-01    5011 A      1720 A      1698 A   
 325.00 keV   6.411E+01  3.546E-01    5349 A      1762 A      1758 A   
 350.00 keV   6.568E+01  3.375E-01    5683 A      1800 A      1815 A   
 375.00 keV   6.708E+01  3.221E-01    6012 A      1837 A      1870 A   
 400.00 keV   6.833E+01  3.082E-01    6337 A      1871 A      1922 A   
 450.00 keV   7.044E+01  2.841E-01    6979 A      1934 A      2021 A   
 500.00 keV   7.210E+01  2.640E-01    7611 A      1991 A      2113 A   
 550.00 keV   7.340E+01  2.468E-01    8235 A      2044 A      2200 A   
 600.00 keV   7.439E+01  2.319E-01    8855 A      2093 A      2283 A   
 650.00 keV   7.514E+01  2.189E-01    9471 A      2139 A      2362 A   
 700.00 keV   7.568E+01  2.075E-01    1.01 um     2182 A      2438 A   
 800.00 keV   7.626E+01  1.881E-01    1.13 um     2265 A      2584 A   
 900.00 keV   7.635E+01  1.724E-01    1.25 um     2343 A      2722 A   
   1.00 MeV   7.609E+01  1.594E-01    1.38 um     2415 A      2856 A   
   1.10 MeV   7.558E+01  1.483E-01    1.50 um     2485 A      2986 A   
   1.20 MeV   7.491E+01  1.389E-01    1.63 um     2552 A      3113 A   
   1.30 MeV   7.411E+01  1.306E-01    1.76 um     2616 A      3238 A   
   1.40 MeV   7.323E+01  1.234E-01    1.89 um     2680 A      3362 A   
   1.50 MeV   7.230E+01  1.170E-01    2.02 um     2742 A      3485 A   
   1.60 MeV   7.133E+01  1.113E-01    2.16 um     2803 A      3607 A   
   1.70 MeV   7.035E+01  1.062E-01    2.29 um     2863 A      3729 A   
   1.80 MeV   6.937E+01  1.016E-01    2.43 um     2924 A      3851 A   
   2.00 MeV   6.741E+01  9.352E-02    2.71 um     3055 A      4096 A   
   2.25 MeV   6.504E+01  8.522E-02    3.08 um     3227 A      4404 A   
   2.50 MeV   6.280E+01  7.838E-02    3.46 um     3398 A      4717 A   
   2.75 MeV   6.069E+01  7.265E-02    3.86 um     3571 A      5034 A   
   3.00 MeV   5.872E+01  6.775E-02    4.26 um     3746 A      5358 A   
   3.25 MeV   5.688E+01  6.353E-02    4.69 um     3922 A      5688 A   
   3.50 MeV   5.516E+01  5.984E-02    5.12 um     4101 A      6024 A   
   3.75 MeV   5.356E+01  5.659E-02    5.58 um     4282 A      6368 A   
   4.00 MeV   5.207E+01  5.370E-02    6.04 um     4466 A      6718 A   
   4.50 MeV   4.936E+01  4.878E-02    7.01 um     4934 A      7439 A   
   5.00 MeV   4.697E+01  4.474E-02    8.03 um     5408 A      8188 A   
   5.50 MeV   4.485E+01  4.137E-02    9.10 um     5888 A      8964 A   
   6.00 MeV   4.296E+01  3.850E-02   10.22 um     6375 A      9768 A   
   6.50 MeV   4.125E+01  3.603E-02   11.39 um     6869 A      1.06 um  
   7.00 MeV   3.971E+01  3.388E-02   12.61 um     7371 A      1.15 um  
   8.00 MeV   3.703E+01  3.032E-02   15.18 um     8770 A      1.32 um  
   9.00 MeV   3.514E+01  2.747E-02   17.91 um     1.01 um     1.51 um  
  10.00 MeV   3.328E+01  2.514E-02   20.80 um     1.15 um     1.71 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E+00                 eV / Angstrom 
  1.0000E+01                keV / micron   
  1.0000E+01                MeV / mm       
  5.1815E-03                keV / (ug/cm2) 
  5.1815E-03                MeV / (mg/cm2) 
  5.1815E+00                keV / (mg/cm2) 
  1.5818E+00                 eV / (1E15 atoms/cm2)
  2.5981E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
